Date,SP500 ^GSPC,SP500 ^GSPC,NASDAQ ^IXIC,NASDAQ ^IXIC,DJI ^DJI,DJI ^DJI,RUSSELL2000 ^RUT,RUSSELL2000 ^RUT,FTSE ^FTSE,FTSE ^FTSE,NIKKEI ^N225,NIKKEI ^N225,GOLD GC=F,USD INDEX DX-Y.NYB,VIX
2011-03-01,1325.8299560546875,89507640000,2781.070068359375,45049990000,12319.73046875,3851830000,843.5499877929688,89507640000,5908.7998046875,19735351900,9755.099609375,4792200000,194338,75.86000061035156,20.21
2011-04-01,1363.6099853515625,77364810000,2873.5400390625,38024600000,12810.5400390625,3321090000,865.2899780273438,77364810000,6069.89990234375,12949138100,9849.740234375,2991400000,15801,72.93000030517578,16.43
2011-06-01,1320.6400146484375,86122730000,2773.52001953125,42570710000,12414.33984375,3876460000,827.4299926757812,86122730000,5945.7001953125,19032766200,9816.08984375,2889600000,15027,74.30000305175781,18.825
2011-07-01,1292.280029296875,81102170000,2756.3798828125,37282980000,12143.240234375,3092480000,797.030029296875,81102170000,5815.2001953125,17010630200,9833.0302734375,2450800000,309932,73.9000015258789,19.28
2011-08-01,1218.8900146484375,108419170000,2579.4599609375,56977870000,11613.5302734375,6203230000,726.8099975585938,108419170000,5394.5,25910288200,8955.2001953125,3428500000,25647,74.12999725341797,35.06
2011-09-01,1131.4200439453125,102786820000,2415.39990234375,42996470000,10913.3798828125,4396520000,644.1599731445312,102786820000,5128.5,20702669900,8700.2900390625,2664200000,31848,78.55000305175781,37.0
2011-10-01,1253.300048828125,98063670000,2684.409912109375,42787830000,11955.009765625,3907730000,741.0599975585938,98063670000,5544.2001953125,17954993900,8988.3896484375,2371900000,2715,76.16999816894531,32.22
2011-11-01,1246.9599609375,84275050000,2620.340087890625,38397210000,12045.6796875,3263110000,737.4199829101562,84275050000,5505.39990234375,21152667800,8434.6103515625,2276100000,257009,78.38999938964844,32.0
2011-12-01,1257.5999755859375,74742430000,2605.14990234375,33177490000,12217.5595703125,3071480000,740.9199829101562,75366190000,5572.2998046875,14853676300,8455.349609375,2086100000,11311,80.16999816894531,25.11
2012-02-01,1365.6800537109375,78385710000,2966.889892578125,37728460000,12952.0703125,2712170000,810.9400024414062,78385710000,5871.5,19080523000,9723.240234375,3455900000,9587,78.7300033569336,18.19
